review_id,text,sentiment,rating
1,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
2,"It is okay, nothing special. It is okay, nothing special. ",neutral,3
3,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
4,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
5,"Great product, love it! Great product, love it! ",positive,5
6,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
7,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
8,"It is okay, nothing special. ",neutral,3
9,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
10,"Terrible quality, waste of money. ",negative,1
11,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
12,"It is okay, nothing special. ",neutral,3
13,"It is okay, nothing special. ",neutral,3
14,"Great product, love it! ",positive,5
15,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
16,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
17,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
18,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
19,"Great product, love it! Great product, love it! ",positive,5
20,"Great product, love it! ",positive,5
21,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
22,"Great product, love it! ",positive,5
23,"Great product, love it! ",positive,5
24,"Great product, love it! ",positive,5
25,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
26,"It is okay, nothing special. ",neutral,3
27,"Great product, love it! ",positive,5
28,"Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
29,"Terrible quality, waste of money. ",negative,1
30,"Great product, love it! Great product, love it! ",positive,5
31,"Terrible quality, waste of money. ",negative,1
32,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
33,"Great product, love it! ",positive,5
34,"It is okay, nothing special. ",neutral,3
35,"It is okay, nothing special. ",neutral,3
36,"It is okay, nothing special. It is okay, nothing special. ",neutral,3
37,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
38,"Great product, love it! Great product, love it! ",positive,5
39,"Terrible quality, waste of money. ",negative,1
40,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
41,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
42,"Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
43,"Great product, love it! Great product, love it! Great product, love it! ",positive,5
44,"It is okay, nothing special. It is okay, nothing special. ",neutral,3
45,"Great product, love it! Great product, love it! ",positive,5
46,"Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
47,"Great product, love it! Great product, love it! Great product, love it! Great product, love it! ",positive,5
48,"Terrible quality, waste of money. Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
49,"Terrible quality, waste of money. Terrible quality, waste of money. ",negative,1
50,"Great product, love it! Great product, love it! ",positive,5
51,"It is okay, nothing special. ",neutral,3
52,"It is okay, nothing special. It is okay, nothing special. ",neutral,3
53,"It is okay, nothing special. It is okay, nothing special. ",neutral,3
